Date,Year,Quarter,Month,MonthName,MonthYear,Day,Weekday,IsWeekend
2011-09-09,2011,2011Q3,9,September,Sep 2011,9,Friday,False
2011-09-10,2011,2011Q3,9,September,Sep 2011,10,Saturday,True
2011-09-11,2011,2011Q3,9,September,Sep 2011,11,Sunday,True
2011-09-12,2011,2011Q3,9,September,Sep 2011,12,Monday,False
2011-09-13,2011,2011Q3,9,September,Sep 2011,13,Tuesday,False
2011-09-14,2011,2011Q3,9,September,Sep 2011,14,Wednesday,False
2011-09-15,2011,2011Q3,9,September,Sep 2011,15,Thursday,False
2011-09-16,2011,2011Q3,9,September,Sep 2011,16,Friday,False
2011-09-17,2011,2011Q3,9,September,Sep 2011,17,Saturday,True
2011-09-18,2011,2011Q3,9,September,Sep 2011,18,Sunday,True
2011-09-19,2011,2011Q3,9,September,Sep 2011,19,Monday,False
2011-09-20,2011,2011Q3,9,September,Sep 2011,20,Tuesday,False
2011-09-21,2011,2011Q3,9,September,Sep 2011,21,Wednesday,False
2011-09-22,2011,2011Q3,9,September,Sep 2011,22,Thursday,False
2011-09-23,2011,2011Q3,9,September,Sep 2011,23,Friday,False
2011-09-24,2011,2011Q3,9,September,Sep 2011,24,Saturday,True
2011-09-25,2011,2011Q3,9,September,Sep 2011,25,Sunday,True
2011-09-26,2011,2011Q3,9,September,Sep 2011,26,Monday,False
2011-09-27,2011,2011Q3,9,September,Sep 2011,27,Tuesday,False
2011-09-28,2011,2011Q3,9,September,Sep 2011,28,Wednesday,False
2011-09-29,2011,2011Q3,9,September,Sep 2011,29,Thursday,False
2011-09-30,2011,2011Q3,9,September,Sep 2011,30,Friday,False
2011-10-01,2011,2011Q4,10,October,Oct 2011,1,Saturday,True
2011-10-02,2011,2011Q4,10,October,Oct 2011,2,Sunday,True
2011-10-03,2011,2011Q4,10,October,Oct 2011,3,Monday,False
2011-10-04,2011,2011Q4,10,October,Oct 2011,4,Tuesday,False
2011-10-05,2011,2011Q4,10,October,Oct 2011,5,Wednesday,False
2011-10-06,2011,2011Q4,10,October,Oct 2011,6,Thursday,False
2011-10-07,2011,2011Q4,10,October,Oct 2011,7,Friday,False
2011-10-08,2011,2011Q4,10,October,Oct 2011,8,Saturday,True
